,emission,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
37,1059.3,14,8,350,165,4209,12,71,1,chevrolet impala
38,1138.3,14,8,400,175,4464,11.5,71,1,pontiac catalina brougham
39,1045.2,14,8,351,153,4154,13.5,71,1,ford galaxie 500
40,1016.2,14,8,318,150,4096,13,71,1,plymouth fury iii
41,1230.5,12,8,383,180,4955,11.5,71,1,dodge monaco (sw)
42,1193.7,13,8,400,170,4746,12,71,1,ford country squire (sw)
43,1274,13,8,400,175,5140,12,71,1,pontiac safari (sw)
44,745.4,18,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw)
45,562.2,22,4,140,72,2408,19,71,1,chevrolet vega (sw)
46,801.9,19,6,250,100,3282,15,71,1,pontiac firebird
47,770.2,18,6,250,88,3139,14.5,71,1,ford mustang
48,519.3,23,4,122,86,2220,14,71,1,mercury capri 2000
49,495.6,28,4,116,90,2123,14,71,2,opel 1900
50,460.3,30,4,79,70,2074,19.5,71,2,peugeot 304
51,464.8,30,4,88,76,2065,14.5,71,2,fiat 124b
52,394.1,31,4,71,65,1773,19,71,3,toyota corolla 1200
53,361.8,35,4,72,69,1613,18,71,3,datsun 1200
54,419.8,27,4,97,60,1834,19,71,2,volkswagen model 111
55,444.5,26,4,91,70,1955,20.5,71,1,plymouth cricket
56,528.6,24,4,113,95,2278,15.5,72,3,toyota corona hardtop
57,485.45,25,4,97.5,80,2126,17,72,1,dodge colt hardtop
58,504,23,4,97,54,2254,23.5,72,2,volkswagen type 3
59,568.6,20,4,140,90,2408,19.5,72,1,chevrolet vega
60,521.5,21,4,122,86,2226,16.5,72,1,ford pinto runabout
61,1072.8,13,8,350,165,4274,12,72,1,chevrolet impala
62,1122.5,14,8,400,175,4385,12,72,1,pontiac catalina
63,1023.5,15,8,318,150,4135,13.5,72,1,plymouth fury iii
64,1040.2,14,8,351,153,4129,13,72,1,ford galaxie 500
65,922.9,17,8,304,150,3672,11.5,72,1,amc ambassador sst
66,1198,11,8,429,208,4633,11,72,1,mercury marquis
67,1115.4,13,8,350,155,4502,13.5,72,1,buick lesabre custom
68,1108.2,12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale
69,1134.9,13,8,400,190,4422,12.5,72,1,chrysler newport royal
70,520.6,19,3,70,97,2330,13.5,72,3,mazda rx2 coupe
71,967.9,15,8,304,150,3892,12.5,72,1,amc matador (sw)
72,1005.6,13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw)
73,1045.3,13,8,302,140,4294,16,72,1,ford gran torino (sw)
74,1012.4,14,8,318,150,4077,14,72,1,plymouth satellite custom (sw)
75,671.7,18,4,121,112,2933,14.5,72,2,volvo 145e (sw)
76,574.5,22,4,121,76,2511,18,72,2,volkswagen 411 (sw)
77,671.4,21,4,120,87,2979,19.5,72,2,peugeot 504 (sw)
78,493.5,26,4,96,69,2189,18,72,2,renault 12 (sw)
79,554.8,22,4,122,86,2395,16,72,1,ford pinto (sw)
80,519.7,28,4,97,92,2288,17,72,3,datsun 510 (sw)
81,578.8,23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw)
82,491.8,28,4,98,80,2164,15,72,1,dodge colt (sw)
83,481.4,27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw)
84,1041,13,8,350,175,4100,13,73,1,buick century 350
85,924.4,14,8,304,150,3672,11.5,73,1,amc matador
86,1009.6,13,8,350,145,3988,13,73,1,chevrolet malibu
87,993.5,14,8,302,137,4042,14.5,73,1,ford gran torino
88,951.9,15,8,318,150,3777,12.5,73,1,dodge coronet custom
89,1258.3,12,8,429,198,4952,11.5,73,1,mercury marquis brougham
90,1131.3,13,8,400,150,4464,12,73,1,chevrolet caprice classic
91,1089,13,8,351,158,4363,13,73,1,ford ltd
92,1044.4,14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan
93,1225,13,8,440,215,4735,11,73,1,chrysler new yorker brougham
94,1279.2,12,8,455,225,4951,11,73,1,buick electra 225 custom
95,990.2,13,8,360,175,3821,11,73,1,amc ambassador brougham
96,759.2,18,6,225,105,3121,16.5,73,1,plymouth valiant
97,802.6,16,6,250,100,3278,18,73,1,chevrolet nova custom
98,726,18,6,232,100,2945,16,73,1,amc hornet
99,746.6,18,6,250,88,3021,16.5,73,1,ford maverick
100,696.8,23,6,198,95,2904,16,73,1,plymouth duster
101,439.3,26,4,97,46,1950,21,73,2,volkswagen super beetle
102,1238.9,11,8,400,150,4997,14,73,1,chevrolet impala
103,1225.3,12,8,400,167,4906,12.5,73,1,ford country
104,1155.3,13,8,360,170,4654,13,73,1,plymouth custom suburb
105,1122.8,12,8,350,180,4499,12.5,73,1,oldsmobile vista cruiser
106,694.8,18,6,232,100,2789,15,73,1,amc gremlin
107,520.7,20,4,97,88,2279,19,73,3,toyota carina
108,561.3,21,4,140,72,2401,19.5,73,1,chevrolet vega
109,547,22,4,108,94,2379,16.5,73,3,datsun 610
110,477.8,18,3,70,90,2124,13.5,73,3,maxda rx3
111,539,19,4,122,85,2310,18.5,73,1,ford pinto
112,593.5,21,6,155,107,2472,14,73,1,mercury capri v6
113,516,26,4,98,90,2265,15.5,73,2,fiat 124 sport coupe
114,1027.4,15,8,350,145,4082,13,73,1,chevrolet monte carlo s
115,1116.6,16,8,400,230,4278,9.5,73,1,pontiac grand prix
116,407.6,29,4,68,49,1867,19.5,73,2,fiat 128
117,500.1,24,4,116,75,2158,15.5,73,2,opel manta
118,590.7,20,4,114,91,2582,14,73,2,audi 100ls
119,658.2,19,4,121,112,2868,15.5,73,2,volvo 144ea
120,876.3,15,8,318,150,3399,11,73,1,dodge dart custom
121,613.5,24,4,121,110,2660,14,73,2,saab 99le
122,666,20,6,156,122,2807,13.5,73,3,toyota mark ii
123,956.3,11,8,350,180,3664,11,73,1,oldsmobile omega
124,737.9,20,6,198,95,3102,16.5,74,1,plymouth duster
125,716.7,19,6,232,100,2901,16,74,1,amc hornet
126,814.7,15,6,250,100,3336,17,74,1,chevrolet nova
127,434.1,31,4,79,67,1950,19,74,3,datsun b210
128,562.2,26,4,122,80,2451,16.5,74,1,ford pinto
129,406.2,32,4,71,65,1836,21,74,3,toyota corolla 1200
130,588.4,25,4,140,75,2542,17,74,1,chevrolet vega
131,903.2,16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic
132,880.4,16,6,258,110,3632,18,74,1,amc matador
133,857.6,18,6,225,105,3613,16.5,74,1,plymouth satellite sebring
134,1013.2,16,8,302,140,4141,14,74,1,ford gran torino
135,1153.3,13,8,350,150,4699,14.5,74,1,buick century luxus (sw)
136,1088.4,14,8,318,150,4457,13.5,74,1,dodge coronet custom (sw)
137,1113.6,14,8,302,140,4638,16,74,1,ford gran torino (sw)
138,1041.4,14,8,304,150,4257,15.5,74,1,amc matador (sw)
139,503.2,29,4,98,83,2219,16.5,74,2,audi fox
140,439.2,26,4,79,67,1963,15.5,74,2,volkswagen dasher
141,518.9,26,4,97,78,2300,14.5,74,2,opel manta
142,367.9,31,4,76,52,1649,16.5,74,3,toyota corona
143,444.4,32,4,83,61,2003,19,74,3,datsun 710
144,478.5,28,4,90,75,2125,14.5,74,1,dodge colt
145,477.1,24,4,90,75,2108,15.5,74,2,fiat 128
146,516.7,26,4,116,75,2246,14,74,2,fiat 124 tc
147,574.9,24,4,120,97,2489,15,74,3,honda civic
148,547.1,26,4,108,93,2391,15.5,74,3,subaru
149,444.1,31,4,79,67,2000,16,74,2,fiat x1.9
150,784.3,19,6,225,95,3264,16,75,1,plymouth valiant custom
151,839.3,18,6,250,105,3459,16,75,1,chevrolet nova
152,825.5,15,6,250,72,3432,21,75,1,mercury monarch
153,770.7,15,6,250,72,3158,19.5,75,1,ford maverick
154,1176.6,16,8,400,170,4668,11.5,75,1,pontiac catalina
155,1099,15,8,350,145,4440,14,75,1,chevrolet bel air
156,1095.6,16,8,318,150,4498,14.5,75,1,plymouth grand fury
157,1144.3,14,8,351,148,4657,13.5,75,1,ford ltd
158,921.4,17,6,231,110,3907,21,75,1,buick century
159,927.9,16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu
160,900.5,15,6,258,110,3730,19,75,1,amc matador
161,889,18,6,225,95,3785,19,75,1,plymouth fury
162,745.8,21,6,231,110,3039,15,75,1,buick skyhawk
163,798.2,20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2
164,817,13,8,302,129,3169,12,75,1,ford mustang ii
165,490.7,29,4,97,75,2171,16,75,3,toyota corolla
166,611.2,23,4,140,83,2639,17,75,1,ford pinto
167,718.8,20,6,232,100,2914,16,75,1,amc gremlin
168,600.3,23,4,140,78,2592,18.5,75,1,pontiac astro
169,624.2,24,4,134,96,2702,13.5,75,3,toyota corona
170,498.4,25,4,90,71,2223,16.5,75,2,volkswagen dasher
171,585.6,24,4,119,97,2545,17,75,3,datsun 710
172,702.4,18,6,171,97,2984,14.5,75,1,ford pinto
173,438.9,29,4,90,70,1937,14,75,2,volkswagen rabbit
174,775.7,19,6,232,90,3211,17,75,1,amc pacer
175,613.3,23,4,115,95,2694,15,75,2,audi 100ls
176,666.3,23,4,120,88,2957,17,75,2,peugeot 504
177,667.9,22,4,121,98,2945,14.5,75,2,volvo 244dl
178,616.7,25,4,121,115,2671,13.5,75,2,saab 99le
179,403.9,33,4,91,53,1795,17.5,75,3,honda civic cvcc
180,558.1,28,4,107,86,2464,15.5,76,2,fiat 131
181,513.8,25,4,116,81,2220,16.9,76,2,opel 1900
182,599.5,25,4,140,92,2572,14.9,76,1,capri ii
183,510.7,26,4,98,79,2255,17.7,76,1,dodge colt
184,502.3,27,4,101,83,2202,15.3,76,2,renault 12tl
185,1028.75,17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic
186,1034,16,8,318,150,4190,13,76,1,dodge coronet brougham
187,972.65,15.5,8,304,120,3962,13.9,76,1,amc matador
188,1056.85,14.5,8,351,152,4215,12.8,76,1,ford gran torino
189,778.1,22,6,225,100,3233,15.4,76,1,plymouth valiant
190,816.1,22,6,250,105,3353,14.5,76,1,chevrolet nova
191,714.7,24,6,200,81,3012,17.6,76,1,ford maverick
192,748.75,22.5,6,232,90,3085,17.6,76,1,amc hornet
193,450.6,29,4,85,52,2035,22.2,76,1,chevrolet chevette
194,487.55,24.5,4,98,60,2164,22.1,76,1,chevrolet woody
195,438.9,29,4,90,70,1937,14.2,76,2,vw rabbit
196,403.9,33,4,91,53,1795,17.4,76,3,honda civic
197,862.7,20,6,225,100,3651,17.7,76,1,dodge aspen se
198,854.2,18,6,250,78,3574,21,76,1,ford granada ghia
199,877.75,18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj
200,787.35,17.5,6,258,95,3193,17.8,76,1,amc pacer d/l
201,420.05,29.5,4,97,71,1825,12.2,76,2,volkswagen rabbit
202,445.5,32,4,85,70,1990,17,76,3,datsun b-210
203,488,28,4,97,75,2155,16.4,76,3,toyota corolla
204,591.35,26.5,4,140,72,2565,13.6,76,1,ford pinto
205,715.6,20,4,130,102,3150,15.7,76,2,volvo 245
206,985.5,13,8,318,150,3940,13.2,76,1,plymouth volare premier v8
207,730.9,19,4,120,88,3270,21.9,76,2,peugeot 504
208,686.9,19,6,156,108,2930,15.5,76,3,toyota mark ii
209,875.75,16.5,6,168,120,3820,16.7,76,2,mercedes-benz 280s
210,1096.75,16.5,8,350,180,4380,12.1,76,1,cadillac seville
211,1023,13,8,350,145,4055,12,76,1,chevy c10
212,957.5,13,8,302,130,3870,15,76,1,ford f108
213,948.5,13,8,318,150,3755,14,76,1,dodge d100
214,462.65,31.5,4,98,68,2045,18.5,77,3,honda accord cvcc
215,495.5,30,4,111,80,2155,14.8,77,1,buick opel isuzu deluxe
216,403.9,36,4,79,58,1825,18.6,77,2,renault 5 gtl
217,537.05,25.5,4,122,96,2300,15.5,77,1,plymouth arrow gs
218,435.75,33.5,4,85,70,1945,16.8,77,3,datsun f-10 hatchback
219,963.25,17.5,8,305,145,3880,12.5,77,1,chevrolet caprice classic
220,966.5,17,8,260,110,4060,19,77,1,oldsmobile cutlass supreme
221,1022.75,15.5,8,318,145,4140,13.7,77,1,dodge monaco brougham
222,1041.5,15,8,302,130,4295,14.9,77,1,mercury cougar brougham
223,853.25,17.5,6,250,110,3520,16.4,77,1,chevrolet concours
224,821.75,20.5,6,231,105,3425,16.9,77,1,buick skylark
225,859,19,6,225,100,3630,17.7,77,1,plymouth volare custom
226,850.15,18.5,6,250,98,3525,19,77,1,ford granada
227,1090,16,8,400,180,4220,11.1,77,1,pontiac grand prix lj
228,1051.25,15.5,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau
229,1114.25,15.5,8,400,190,4325,12.2,77,1,chrysler cordoba
230,1079.2,16,8,351,149,4335,14.5,77,1,ford thunderbird
231,445.4,29,4,97,78,1940,14.5,77,2,volkswagen rabbit custom
232,637.65,24.5,4,151,88,2740,16,77,1,pontiac sunbird coupe
233,511,26,4,97,75,2265,18.2,77,3,toyota corolla liftback
234,634.95,25.5,4,140,89,2755,15.8,77,1,ford mustang ii 2+2
235,462.85,30.5,4,98,63,2051,17,77,1,chevrolet chevette
236,472.15,33.5,4,98,83,2075,15.9,77,1,dodge colt m/m
237,450.6,30,4,97,67,1985,16.4,77,3,subaru dl
238,494.65,30.5,4,97,78,2190,14.1,77,2,volkswagen dasher
239,654.1,22,6,146,97,2815,14.5,77,3,datsun 810
240,602.75,21.5,4,121,110,2600,12.8,77,2,bmw 320i
241,606.25,21.5,3,80,110,2720,13.5,77,3,mazda rx-4
242,434.85,43.1,4,90,48,1985,21.5,78,2,volkswagen rabbit custom diesel
243,410.75,36.1,4,98,66,1800,14.4,78,1,ford fiesta
244,435.2,32.8,4,78,52,1985,19.4,78,3,mazda glc deluxe
245,457.8,39.4,4,85,70,2070,18.6,78,3,datsun b210 gx
246,405.45,36.1,4,91,60,1800,16.4,78,3,honda civic cvcc
247,826.05,19.9,8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham
248,938.3,19.4,8,318,140,3735,13.2,78,1,dodge diplomat
249,896.6,20.2,8,302,139,3570,12.8,78,1,mercury monarch ghia
250,844.4,19.2,6,231,105,3535,19.2,78,1,pontiac phoenix lj
251,749.25,20.5,6,200,95,3155,18.2,78,1,chevrolet malibu
252,708.4,20.2,6,200,85,2965,15.8,78,1,ford fairmont (auto)
253,627.85,25.1,4,140,88,2720,15.4,78,1,ford fairmont (man)
254,818.25,20.5,6,225,100,3430,17.2,78,1,plymouth volare
255,775.3,19.4,6,232,90,3210,17.2,78,1,amc concord
256,812.7,20.6,6,231,105,3380,15.8,78,1,buick century special
257,729.1,20.8,6,200,85,3070,16.7,78,1,mercury zephyr
258,860.2,18.6,6,225,110,3620,18.7,78,1,dodge aspen
259,837.95,18.1,6,258,120,3410,15.1,78,1,amc concord d/l
260,871.4,19.2,8,305,145,3425,13.2,78,1,chevrolet monte carlo landau
261,845.15,17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo)
262,824.65,18.1,8,302,139,3205,11.2,78,1,ford futura
263,1008.25,17.5,8,318,140,4080,13.7,78,1,dodge magnum xe
264,485.4,30,4,98,68,2155,16.5,78,1,chevrolet chevette
265,593.75,27.5,4,134,95,2560,14.2,78,3,toyota corona
266,535,27.2,4,119,97,2300,14.7,78,3,datsun 510
267,505.55,30.9,4,105,75,2230,14.5,78,1,dodge omni
268,587.95,21.1,4,134,95,2515,14.8,78,3,toyota celica gt liftback
269,646.9,23.2,4,156,105,2745,16.7,78,1,plymouth sapporo
270,660.1,23.8,4,151,85,2855,17.6,78,1,oldsmobile starfire sx
271,557.65,23.9,4,119,97,2405,14.9,78,3,datsun 200-sx
272,652.25,20.3,5,131,103,2830,15.9,78,2,audi 5000
273,738.5,17,6,163,125,3140,13.6,78,2,volvo 264gl
274,643.2,21.6,4,121,115,2795,15.7,78,2,saab 99gle
275,795.3,16.2,6,163,133,3410,15.8,78,2,peugeot 604sl
276,448.05,31.5,4,89,71,1990,14.9,78,2,volkswagen scirocco
277,481.65,29.5,4,98,68,2135,16.6,78,3,honda accord lx
278,788.25,21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6
279,713.6,19.8,6,200,85,2990,18.2,79,1,mercury zephyr 6
280,663.25,22.3,4,140,88,2890,17.3,79,1,ford fairmont 4
281,785.9,20.2,6,232,90,3265,18.2,79,1,amc concord dl 6
282,807.2,20.6,6,225,110,3360,16.6,79,1,dodge aspen 6
283,951,17,8,305,130,3840,15.4,79,1,chevrolet caprice classic
284,925.9,17.6,8,302,129,3725,13.4,79,1,ford ltd landau
285,999.65,16.5,8,351,138,3955,13.2,79,1,mercury grand marquis
286,956.4,18.2,8,318,135,3830,15.2,79,1,dodge st. regis
287,1085.05,16.9,8,350,155,4360,14.9,79,1,buick estate wagon (sw)
288,1021.15,15.5,8,351,142,4054,14.3,79,1,ford country squire (sw)
289,882.4,19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw)
290,1003.75,18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw)
291,434.85,31.9,4,89,71,1925,14,79,2,vw rabbit custom
292,440.45,34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe
293,438.15,35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom
294,604.8,27.4,4,121,80,2670,15,79,1,amc spirit dl
295,807.9,25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d
296,981,23,8,350,125,3900,17.4,79,1,cadillac eldorado
297,716.2,27.2,4,141,71,3190,24.8,79,2,peugeot 504
298,829.05,23.9,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham
299,496.4,34.2,4,105,70,2200,13.2,79,1,plymouth horizon
300,486.25,34.5,4,105,70,2150,14.9,79,1,plymouth horizon tc3
301,450.1,31.8,4,85,65,2020,19.2,79,3,datsun 210
302,473.55,37.3,4,91,69,2130,14.7,79,2,fiat strada custom
303,622.3,28.4,4,151,90,2670,16,79,1,buick skylark limited
304,625.6,28.8,6,173,115,2595,11.3,79,1,chevrolet citation
305,647.6,26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham
306,596.95,33.5,4,151,90,2556,13.2,79,1,pontiac phoenix
307,479.85,41.5,4,98,76,2144,14.7,80,2,vw rabbit
308,437.05,38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel
309,477.95,32.1,4,98,70,2120,15.5,80,1,chevrolet chevette
310,447.7,37.2,4,86,65,2019,16.4,80,3,datsun 310
311,624.1,28,4,151,90,2678,16.5,80,1,chevrolet citation
312,657.2,26.4,4,140,88,2870,18.1,80,1,ford fairmont
313,690.95,24.3,4,151,90,3003,20.1,80,1,amc concord
314,806.15,19.1,6,225,90,3381,18.7,80,1,dodge aspen
315,492.35,34.3,4,97,78,2188,15.8,80,2,audi 4000
316,621.3,29.8,4,134,90,2711,15.5,80,3,toyota corona liftback
317,575.25,31.3,4,120,75,2542,17.5,80,3,mazda 626
318,555.4,37,4,119,92,2434,15,80,3,datsun 510 hatchback
319,513.4,32.2,4,108,75,2265,15.2,80,3,toyota corolla
320,461.2,46.6,4,86,65,2110,17.9,80,3,mazda glc
321,655.55,27.9,4,156,105,2800,14.4,80,1,dodge colt
322,463.6,40.8,4,85,65,2110,19.2,80,3,datsun 210
323,454.25,44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel)
324,504.7,43.4,4,90,48,2335,23.7,80,2,vw dasher (diesel)
325,652.4,36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel)
326,728.1,30,4,146,67,3250,21.8,80,2,mercedes-benz 240d
327,413.3,44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl
328,480.7,33.8,4,97,67,2145,18,80,3,subaru dl
329,417.2,29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit
330,689.25,32.7,6,168,132,2910,11.4,80,3,datsun 280-zx
331,537.15,23.7,3,70,100,2420,12.5,80,3,mazda rx-7 gs
332,569.9,35,4,122,88,2500,15.1,80,2,triumph tr7 coupe
333,516.9,32.4,4,107,72,2290,17,80,3,honda accord
334,577.1,27.2,4,135,84,2490,15.7,81,1,plymouth reliant
335,614.4,26.6,4,151,84,2635,16.4,81,1,buick skylark
336,616.7,25.8,4,156,92,2620,14.4,81,1,dodge aries wagon (sw)
337,652.75,23.5,6,173,110,2725,12.6,81,1,chevrolet citation
338,554.7,30,4,135,84,2385,12.9,81,1,plymouth reliant
339,388.35,39.1,4,79,58,1755,16.9,81,3,toyota starlet
340,417.7,39,4,86,64,1875,16.4,81,1,plymouth champ
341,392.95,35.1,4,81,60,1760,16.1,81,3,honda civic 1300
342,465.45,32.3,4,97,67,2065,17.8,81,3,subaru
343,438.5,37,4,85,65,1975,19.4,81,3,datsun 210 mpg
344,454.25,37.7,4,89,62,2050,17.3,81,3,toyota tercel
345,445.85,34.1,4,91,68,1985,16,81,3,mazda glc 4
346,497.05,34.7,4,105,63,2215,14.9,81,1,plymouth horizon 4
347,460.3,34.4,4,98,65,2045,16.2,81,1,ford escort 4w
348,529.55,29.9,4,98,65,2380,20.7,81,1,ford escort 2h
349,496.2,33,4,105,74,2190,14.2,81,2,volkswagen jetta
350,501.15,33.7,4,107,75,2210,14.4,81,3,honda prelude
351,530.3,32.4,4,108,75,2350,16.8,81,3,toyota corolla
352,596.05,32.9,4,119,100,2615,14.8,81,3,datsun 200sx
353,593.4,31.6,4,120,74,2635,18.3,81,3,mazda 626
354,726.45,28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel
355,711.95,30.7,6,145,76,3160,19.6,81,2,volvo diesel
356,686.1,25.4,6,168,116,2900,12.6,81,3,toyota cressida
357,682.9,24.2,6,146,120,2930,13.8,81,3,datsun 810 maxima
358,820.3,22.4,6,231,110,3415,15.8,81,1,buick century
359,938.2,26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls
360,728.3,20.2,6,200,88,3060,17.1,81,1,ford granada gl
361,822.2,17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon
362,589.4,28,4,112,88,2605,19.6,82,1,chevrolet cavalier
363,596.9,27,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon
364,544.4,34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
365,581,31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback
366,583.2,29,4,135,84,2525,16,82,1,dodge aries se
367,636,27,4,151,90,2735,18,82,1,pontiac phoenix
368,658.6,24,4,140,92,2865,16.4,82,1,ford fairmont futura
369,452.7,36,4,105,74,1980,15.3,82,2,volkswagen rabbit l
370,452.4,37,4,91,68,2025,18.2,82,3,mazda glc custom l
371,444.4,31,4,91,68,1970,17.6,82,3,mazda glc custom
372,477.4,38,4,105,63,2125,14.7,82,1,plymouth horizon miser
373,477,36,4,98,70,2125,17.3,82,1,mercury lynx l
374,500.4,36,4,120,88,2160,14.5,82,3,nissan stanza xe
375,499,36,4,107,75,2205,14.5,82,3,honda accord
376,507,34,4,108,70,2245,16.9,82,3,toyota corolla
377,439.6,38,4,91,67,1965,15,82,3,honda civic
378,442.6,32,4,91,67,1965,15.7,82,3,honda civic (auto)
379,445.6,38,4,91,67,1995,16.2,82,3,datsun 310 gx
380,700,25,6,181,110,2945,16.4,82,1,buick century limited
381,740.5,38,6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel)
382,609.6,26,4,156,92,2585,14.5,82,1,chrysler lebaron medallion
383,705.6,22,6,232,112,2835,14.7,82,1,ford granada l
384,617.8,32,4,144,96,2665,13.9,82,3,toyota celica gt
385,548.7,36,4,135,84,2370,13,82,1,dodge charger 2.2
386,679,27,4,151,90,2950,17.3,82,1,chevrolet camaro
387,640.3,27,4,140,86,2790,15.6,82,1,ford mustang gl
388,468.1,44,4,97,52,2130,24.6,82,2,vw pickup
389,535.7,32,4,135,84,2295,11.6,82,1,dodge rampage
390,594.7,28,4,120,79,2625,18.6,82,1,ford ranger
391,612.6,31,4,119,82,2720,19.4,82,1,chevy s-10
